,Energy [keV],Isotope,Half-life [s],Branching Ratio,Mass Fraction,Fraction Unc.
1,103.089347,Gd153,20770560.0,0.2111,1.37313881317,7.61198892202e-10
2,103.089347,Sm153,166622.4,0.3,0.00468216279459,1.28274766836e-17
3,110.087117,U235,2.2197852e+16,0.0154,-20284425178.0,4.73546355876e+24
4,110.087117,Yb169,2767046.4000000004,0.1747,-0.000357620444451,3.67024911316e-21
5,111.163697,Er171,27057.6,0.20500000000000002,9091.04861974,25372460678.5
6,112.957997,Lu177,581817.6,0.064,0.000311626499787,8.92572477287e-22
7,112.957997,mLu177,13858560.0,0.204,0.00098262027837,3.70439766931e-21
8,112.957997,Ta182,9886752.0,0.018850000000000002,0.0203627928119,9.5760972558e-16
9,112.957997,Yb175,361583.99999999994,0.0188,0.00290702687296,1.08762654854e-17
10,113.675717,Lu177,581817.6,0.064,9.25018932248e-05,2.45044195414e-23
11,113.675717,mLu177,13858560.0,0.204,0.000291676850757,1.0169943276e-22
12,113.675717,Ta182,9886752.0,0.018850000000000002,0.00604440536261,2.62899328287e-17
13,113.675717,Yb175,361583.99999999994,0.0188,0.000862909571514,2.98593760485e-19
14,113.675717,Nd149,6220.8,0.192,1.59157545504e+32,2.00859085402e+124
15,121.750067,Se75,10348905.6,0.172,0.362987039411,1.57266788571e-11
16,121.750067,mZn71,14256.0,0.028999999999999998,1.98891150642e+16,1.02903731558e+59
17,121.750067,Yb177,6879.6,0.0342,4.20266281786e+30,4.25110637322e+116
18,121.750067,mLu177,13858560.0,0.0591,0.0282045989963,4.28083590553e-16
19,121.750067,mEu152,33521.76,0.07,3.62013227543,4.80328011809e-05
20,121.750067,Eu152,426956980.0,0.2858,0.00183809117446,2.50640385919e-22
21,133.054157,Hf181,3662496.0,0.433,0.00292195914561,5.63908196256e-19
22,133.054157,Ba131,993600.0,0.0212,8.56038265726,0.000153126423684
23,133.054157,mHg197,85680.0,0.33,0.0380834680339,6.95593493605e-13
24,140.76964700000002,Mo99,237384.0,0.8943000000000001,0.00719933173109,2.02091970533e-15
25,145.434827,Xe127,3144960.0,0.0429,97.0465839172,0.304812216823
26,145.434827,Ce141,2808086.4,0.48200000000000004,0.0537156455849,3.20419706055e-14
27,159.43036700000002,mSn117,1175040.0,0.86,0.0823808236196,1.29131173636e-12
28,159.43036700000002,mTe123,10342080.0,0.84,0.116972328699,5.96353650029e-13
29,177.014507,mLu177,13858560.0,0.1261,0.00101251745741,5.21918702588e-21
30,177.014507,Yb169,2767046.4000000004,0.22160000000000002,0.00231238393248,7.11105793678e-19
31,192.26605700000002,Pt197,71609.40000000001,0.037000000000000005,10.3997403738,0.0103649294148
32,192.26605700000002,Fe59,3845059.2,0.0308,7.62731183327,5.58507967198e-05
33,198.00781700000002,Tb160,6246720.0,0.0518,0.00399928547378,1.91290088406e-18
34,198.00781700000002,Yb169,2767046.4000000004,0.358,0.00234251374698,5.08308106525e-19
35,198.00781700000002,Ta182,9886752.0,0.014410000000000001,0.0277665491412,2.80833477887e-15
36,198.00781700000002,Ge75,4966.8,0.011899999999999999,4.85480196625e+42,inf
37,198.00781700000002,Se75,10348905.6,0.0148,0.528814703521,3.529673608e-10
38,198.00781700000002,Nd149,6220.8,0.0139,7.72030777162e+33,2.66751642116e+130
39,208.414757,Nd149,6220.8,0.02546,1.29005548376e+34,8.27560128845e+130
40,208.414757,Lu177,581817.6,0.11,0.000578463867931,3.57709385253e-21
41,208.414757,mLu177,13858560.0,0.5770000000000001,0.00110839521795,2.02428989822e-21
42,216.13024700000003,mHf180,19800.0,0.813,1486560.29824,8.44507824203e+18
43,216.13024700000003,Ge77,40680.0,0.28600000000000003,2300.99833345,23595165.1048
44,216.13024700000003,Tb160,6246720.0,0.04018,0.00733655707752,1.58801979321e-17
45,216.13024700000003,Ru97,250560.0,0.86,0.089814031062,8.89208824314e-12
46,216.13024700000003,mHo166,37848000000.0,0.026099999999999998,23.5776507357,2.79574742484e-07
47,216.13024700000003,Ba131,993600.0,0.1966,0.771390518445,1.22018126173e-08
48,216.13024700000003,Kr79,126144.0,0.023700000000000002,7.57854469676,0.00089539654749
49,228.331487,mLu177,13858560.0,0.37,0.000783399601237,1.02154031258e-21
50,228.331487,Ta182,9886752.0,0.0363,0.0152901326183,2.07793328657e-16
51,244.83904700000002,Eu152,426956980.0,0.07583000000000001,0.00200612411698,9.12287555853e-22
52,277.67473700000005,mTe131,108000.0,0.0233,8.0498099127,0.00133816005908
53,282.51934700000004,mLu177,13858560.0,0.141,0.00289244611548,1.50639109093e-19
54,282.51934700000004,Yb175,361583.99999999994,0.0301,0.00369410214591,1.53610581018e-17
55,293.464577,Ce143,118940.40000000001,0.428,0.0582306839684,1.15974617387e-11
56,293.464577,Ir194,69408.0,0.0252,0.0280002941286,1.06249188381e-12
57,300.282917,Kr79,126144.0,0.0154,12.8861470914,0.00862710892567
58,300.282917,mHo166,37848000000.0,0.037320000000000006,18.2183501658,1.14876921279e-07
59,308.177837,Yb169,2767046.4000000004,0.1005,0.00131447764512,3.67050384316e-19
60,308.177837,Er171,27057.6,0.644,981.639259679,11674753.2741
61,308.177837,Ir192,6378998.4,0.3,8.74016374347e-06,3.11211107767e-28
62,320.199647,Nd147,948672.0,0.0195,2.06474466862,1.69811204e-07
63,320.199647,Cr51,2393496.0,0.1,0.0954134157365,3.06917801446e-13
64,328.812287,Ir194,69408.0,0.131,0.197001287517,1.35689169212e-10
65,328.812287,La140,144987.84,0.203,0.0288285329064,2.97877048475e-14
